"rules","support","confidence","coverage","lift","count"
"{onions,other vegetables} => {whole milk}",0.00660904931367565,0.464285714285714,0.0142348754448399,1.81705133306805,65
"{onions,whole milk} => {other vegetables}",0.00660904931367565,0.546218487394958,0.0120996441281139,2.82294210379895,65
"{hamburger meat,other vegetables} => {whole milk}",0.00630401626842908,0.455882352941176,0.0138281647178444,1.78416352613469,62
"{hamburger meat,whole milk} => {other vegetables}",0.00630401626842908,0.427586206896552,0.0147432638535841,2.20983202565822,62
"{other vegetables,sugar} => {whole milk}",0.00630401626842908,0.584905660377358,0.0107778342653788,2.28911546749356,62
"{sugar,whole milk} => {other vegetables}",0.00630401626842908,0.418918918918919,0.0150482968988307,2.16503813324623,62
"{cream cheese,yogurt} => {whole milk}",0.00660904931367565,0.532786885245902,0.0124046771733604,2.08514087401251,65
"{cream cheese,whole milk} => {yogurt}",0.00660904931367565,0.401234567901235,0.0164717844433147,2.8761967750063,65
"{cream cheese,other vegetables} => {whole milk}",0.0067107269954245,0.488888888888889,0.0137264870360956,1.91333952336738,66
"{cream cheese,whole milk} => {other vegetables}",0.0067107269954245,0.407407407407407,0.0164717844433147,2.10554485120959,66
"{chicken,other vegetables} => {whole milk}",0.00843924758515506,0.471590909090909,0.0178952719877987,1.84564130159534,83
"{chicken,whole milk} => {other vegetables}",0.00843924758515506,0.479768786127168,0.0175902389425521,2.47951971180278,83
"{coffee,other vegetables} => {whole milk}",0.00640569395017794,0.477272727272727,0.013421453990849,1.86787794378324,63
"{coffee,whole milk} => {other vegetables}",0.00640569395017794,0.342391304347826,0.0187086934417895,1.76953151774087,63
"{frozen vegetables,root vegetables} => {other vegetables}",0.00610066090493137,0.526315789473684,0.0115912557193696,2.72008186519899,60
"{frozen vegetables,other vegetables} => {root vegetables}",0.00610066090493137,0.342857142857143,0.0177935943060498,3.1455223880597,60
"{frozen vegetables,root vegetables} => {whole milk}",0.00620233858668022,0.535087719298246,0.0115912557193696,2.09414553095831,61
"{frozen vegetables,whole milk} => {root vegetables}",0.00620233858668022,0.303482587064677,0.0204372140315201,2.78428287666147,61
"{frozen vegetables,yogurt} => {whole milk}",0.00610066090493137,0.491803278688525,0.0124046771733604,1.9247454221654,60
"{frozen vegetables,whole milk} => {yogurt}",0.00610066090493137,0.298507462686567,0.0204372140315201,2.13981114833993,60
"{frozen vegetables,other vegetables} => {whole milk}",0.00965937976614133,0.542857142857143,0.0177935943060498,2.12455232789495,95
"{frozen vegetables,whole milk} => {other vegetables}",0.00965937976614133,0.472636815920398,0.0204372140315201,2.44266058043989,95
"{beef,root vegetables} => {other vegetables}",0.00793085917641078,0.456140350877193,0.0173868835790544,2.35740428317246,78
"{beef,other vegetables} => {root vegetables}",0.00793085917641078,0.402061855670103,0.0197254702592781,3.68869249115248,78
"{beef,root vegetables} => {whole milk}",0.00803253685815963,0.461988304093567,0.0173868835790544,1.80806007590936,79
"{beef,whole milk} => {root vegetables}",0.00803253685815963,0.37799043062201,0.0212506354855109,3.46785063914875,79
"{beef,yogurt} => {whole milk}",0.00610066090493137,0.521739130434783,0.0116929334011185,2.04190383916677,60
"{beef,whole milk} => {yogurt}",0.00610066090493137,0.287081339712919,0.0212506354855109,2.05790450151352,60
